Code,Indicator Name,Short definition,Long definition,Source,Topic,Periodicity,Aggregation method,Statistical concept and methodology,Development relevance,Limitations and exceptions,General comments,Other notes
UIS.T.23.V.F,"Teachers in secondary vocational education, female (number)",,"Total number of female teachers in vocational programmes in public and private secondary education institutions (ISCED 2 and 3). Teachers are persons employed full time or part time in an official capacity to guide and direct the learning experience of pupils and students, irrespective of their qualifications or the delivery mechanism, i.e. face-to-face and/or at a distance. This definition excludes educational personnel who have no active teaching duties (e.g. headmasters, headmistresses or principals who do not teach) and persons who work occasionally or in a voluntary capacity in educational institutions.",UNESCO Institute for Statistics,Teachers,,,,,,,
UIS.T.5.B,"Teachers in tertiary education ISCED 5 programmes, both sexes (number)",,"Total number of teachers in public and private short-cycle tertiary education institutions (ISCED 5). Teachers are persons employed full time or part time in an official capacity to guide and direct the learning experience of pupils and students, irrespective of their qualifications or the delivery mechanism, i.e. face-to-face and/or at a distance. This definition excludes educational personnel who have no active teaching duties (e.g. headmasters, headmistresses or principals who do not teach) and persons who work occasionally or in a voluntary capacity in educational institutions.",UNESCO Institute for Statistics,Teachers,,,,,,,
UIS.T.5.B.F,"Teachers in tertiary education ISCED 5 programmes, female (number)",,"Total number of female teachers in public and private short-cycle tertiary education institutions (ISCED 5). Teachers are persons employed full time or part time in an official capacity to guide and direct the learning experience of pupils and students, irrespective of their qualifications or the delivery mechanism, i.e. face-to-face and/or at a distance. This definition excludes educational personnel who have no active teaching duties (e.g. headmasters, headmistresses or principals who do not teach) and persons who work occasionally or in a voluntary capacity in educational institutions.",UNESCO Institute for Statistics,Teachers,,,,,,,
SE.TER.TCHR,"Teachers in tertiary education programmes, both sexes (number)",,"Total number of teachers in public and private tertiary education institutions (ISCED 5-8). Teachers are persons employed full time or part time in an official capacity to guide and direct the learning experience of pupils and students, irrespective of their qualifications or the delivery mechanism, i.e. face-to-face and/or at a distance. This definition excludes educational personnel who have no active teaching duties (e.g. headmasters, headmistresses or principals who do not teach) and persons who work occasionally or in a voluntary capacity in educational institutions.",UNESCO Institute for Statistics,Teachers,,,,,,,
SE.TER.TCHR.FE,"Teachers in tertiary education programmes, female (number)",,"Total number of female teachers in public and private tertiary education institutions (ISCED 5-8). Teachers are persons employed full time or part time in an official capacity to guide and direct the learning experience of pupils and students, irrespective of their qualifications or the delivery mechanism, i.e. face-to-face and/or at a distance. This definition excludes educational personnel who have no active teaching duties (e.g. headmasters, headmistresses or principals who do not teach) and persons who work occasionally or in a voluntary capacity in educational institutions.",UNESCO Institute for Statistics,Teachers,,,,,,,
UIS.T.3,"Teachers in upper secondary education, both sexes (number)",,"Total number of teachers in public and private upper secondary education institutions (ISCED 3). Teachers are persons employed full time or part time in an official capacity to guide and direct the learning experience of pupils and students, irrespective of their qualifications or the delivery mechanism, i.e. face-to-face and/or at a distance. This definition excludes educational personnel who have no active teaching duties (e.g. headmasters, headmistresses or principals who do not teach) and persons who work occasionally or in a voluntary capacity in educational institutions.",UNESCO Institute for Statistics,Teachers,,,,,,,
UIS.T.3.F,"Teachers in upper secondary education, female (number)",,"Total number of female teachers in public and private upper secondary education institutions (ISCED 3). Teachers are persons employed full time or part time in an official capacity to guide and direct the learning experience of pupils and students, irrespective of their qualifications or the delivery mechanism, i.e. face-to-face and/or at a distance. This definition excludes educational personnel who have no active teaching duties (e.g. headmasters, headmistresses or principals who do not teach) and persons who work occasionally or in a voluntary capacity in educational institutions.",UNESCO Institute for Statistics,Teachers,,,,,,,
UIS.XSPENDP.2.FDPUB.FNTS,Teaching staff compensation as a percentage of total expenditure in lower secondary public institutions (%),"Teacher compensation expressed as a percentage of direct expenditure in public educational institutions (instructional and non-instructional) of the specified level of education. Financial aid to students and other transfers are excluded from direct expenditure. Staff compensation includes salaries, contributions by employers for staff retirement programmes, and other allowances and benefits. To calculate this indicator, divide teacher compensation in public institutions of a given level of education (ex. primary, secondary, or all levels combined) by total expenditure (current and capital) in public institutions of the same level of education, and multiply by 100. Limitations: Although countries responding to the UIS questionnaire on educational expenditure are required to follow common definitions for staff compensation, in some cases government budget classifications may differ. It is also often difficult to separate staff compensation between teachers and non-teachers, as these are usually grouped together in country's accounting systems. In general, respondent countries must use estimation methods to separate teacher and non-teacher staff compensation. For more information, consult the UNESCO Institute of Statistics website: http://www.uis.unesco.org/Education/","Teacher compensation expressed as a percentage of direct expenditure in public educational institutions (instructional and non-instructional) of the specified level of education. Financial aid to students and other transfers are excluded from direct expenditure. Staff compensation includes salaries, contributions by employers for staff retirement programmes, and other allowances and benefits. To calculate this indicator, divide teacher compensation in public institutions of a given level of education (ex. primary, secondary, or all levels combined) by total expenditure (current and capital) in public institutions of the same level of education, and multiply by 100. Limitations: Although countries responding to the UIS questionnaire on educational expenditure are required to follow common definitions for staff compensation, in some cases government budget classifications may differ. It is also often difficult to separate staff compensation between teachers and non-teachers, as these are usually grouped together in country's accounting systems. In general, respondent countries must use estimation methods to separate teacher and non-teacher staff compensation. For more information, consult the UNESCO Institute of Statistics website: http://www.uis.unesco.org/Education/",UNESCO Institute for Statistics,Education Expenditures,,,,,,,
UIS.XSPENDP.4.FDPUB.FNTS,Teaching staff compensation as a percentage of total expenditure in post-secondary non-tertiary public institutions (%),"Teacher compensation expressed as a percentage of direct expenditure in public educational institutions (instructional and non-instructional) of the specified level of education. Financial aid to students and other transfers are excluded from direct expenditure. Staff compensation includes salaries, contributions by employers for staff retirement programmes, and other allowances and benefits. To calculate this indicator, divide teacher compensation in public institutions of a given level of education (ex. primary, secondary, or all levels combined) by total expenditure (current and capital) in public institutions of the same level of education, and multiply by 100. Limitations: Although countries responding to the UIS questionnaire on educational expenditure are required to follow common definitions for staff compensation, in some cases government budget classifications may differ. It is also often difficult to separate staff compensation between teachers and non-teachers, as these are usually grouped together in country's accounting systems. In general, respondent countries must use estimation methods to separate teacher and non-teacher staff compensation. For more information, consult the UNESCO Institute of Statistics website: http://www.uis.unesco.org/Education/","Teacher compensation expressed as a percentage of direct expenditure in public educational institutions (instructional and non-instructional) of the specified level of education. Financial aid to students and other transfers are excluded from direct expenditure. Staff compensation includes salaries, contributions by employers for staff retirement programmes, and other allowances and benefits. To calculate this indicator, divide teacher compensation in public institutions of a given level of education (ex. primary, secondary, or all levels combined) by total expenditure (current and capital) in public institutions of the same level of education, and multiply by 100. Limitations: Although countries responding to the UIS questionnaire on educational expenditure are required to follow common definitions for staff compensation, in some cases government budget classifications may differ. It is also often difficult to separate staff compensation between teachers and non-teachers, as these are usually grouped together in country's accounting systems. In general, respondent countries must use estimation methods to separate teacher and non-teacher staff compensation. For more information, consult the UNESCO Institute of Statistics website: http://www.uis.unesco.org/Education/",UNESCO Institute for Statistics,Education Expenditures,,,,,,,
UIS.XSPENDP.02.FDPUB.FNTS,Teaching staff compensation as a percentage of total expenditure in pre-primary public institutions (%),"Teacher compensation expressed as a percentage of direct expenditure in public educational institutions (instructional and non-instructional) of the specified level of education. Financial aid to students and other transfers are excluded from direct expenditure. Staff compensation includes salaries, contributions by employers for staff retirement programmes, and other allowances and benefits. To calculate this indicator, divide teacher compensation in public institutions of a given level of education (ex. primary, secondary, or all levels combined) by total expenditure (current and capital) in public institutions of the same level of education, and multiply by 100. Limitations: Although countries responding to the UIS questionnaire on educational expenditure are required to follow common definitions for staff compensation, in some cases government budget classifications may differ. It is also often difficult to separate staff compensation between teachers and non-teachers, as these are usually grouped together in country's accounting systems. In general, respondent countries must use estimation methods to separate teacher and non-teacher staff compensation. For more information, consult the UNESCO Institute of Statistics website: http://www.uis.unesco.org/Education/","Teacher compensation expressed as a percentage of direct expenditure in public educational institutions (instructional and non-instructional) of the specified level of education. Financial aid to students and other transfers are excluded from direct expenditure. Staff compensation includes salaries, contributions by employers for staff retirement programmes, and other allowances and benefits. To calculate this indicator, divide teacher compensation in public institutions of a given level of education (ex. primary, secondary, or all levels combined) by total expenditure (current and capital) in public institutions of the same level of education, and multiply by 100. Limitations: Although countries responding to the UIS questionnaire on educational expenditure are required to follow common definitions for staff compensation, in some cases government budget classifications may differ. It is also often difficult to separate staff compensation between teachers and non-teachers, as these are usually grouped together in country's accounting systems. In general, respondent countries must use estimation methods to separate teacher and non-teacher staff compensation. For more information, consult the UNESCO Institute of Statistics website: http://www.uis.unesco.org/Education/",UNESCO Institute for Statistics,Education Expenditures,,,,,,,
UIS.XSPENDP.1.FDPUB.FNTS,Teaching staff compensation as a percentage of total expenditure in primary public institutions (%),"Teacher compensation expressed as a percentage of direct expenditure in public educational institutions (instructional and non-instructional) of the specified level of education. Financial aid to students and other transfers are excluded from direct expenditure. Staff compensation includes salaries, contributions by employers for staff retirement programmes, and other allowances and benefits. To calculate this indicator, divide teacher compensation in public institutions of a given level of education (ex. primary, secondary, or all levels combined) by total expenditure (current and capital) in public institutions of the same level of education, and multiply by 100. Limitations: Although countries responding to the UIS questionnaire on educational expenditure are required to follow common definitions for staff compensation, in some cases government budget classifications may differ. It is also often difficult to separate staff compensation between teachers and non-teachers, as these are usually grouped together in country's accounting systems. In general, respondent countries must use estimation methods to separate teacher and non-teacher staff compensation. For more information, consult the UNESCO Institute of Statistics website: http://www.uis.unesco.org/Education/","Teacher compensation expressed as a percentage of direct expenditure in public educational institutions (instructional and non-instructional) of the specified level of education. Financial aid to students and other transfers are excluded from direct expenditure. Staff compensation includes salaries, contributions by employers for staff retirement programmes, and other allowances and benefits. To calculate this indicator, divide teacher compensation in public institutions of a given level of education (ex. primary, secondary, or all levels combined) by total expenditure (current and capital) in public institutions of the same level of education, and multiply by 100. Limitations: Although countries responding to the UIS questionnaire on educational expenditure are required to follow common definitions for staff compensation, in some cases government budget classifications may differ. It is also often difficult to separate staff compensation between teachers and non-teachers, as these are usually grouped together in country's accounting systems. In general, respondent countries must use estimation methods to separate teacher and non-teacher staff compensation. For more information, consult the UNESCO Institute of Statistics website: http://www.uis.unesco.org/Education/",UNESCO Institute for Statistics,Education Expenditures,,,,,,,
UIS.XSPENDP.FDPUB.FNTS,Teaching staff compensation as a percentage of total expenditure in public institutions (%),"Teacher compensation expressed as a percentage of direct expenditure in public educational institutions (instructional and non-instructional) of the specified level of education. Financial aid to students and other transfers are excluded from direct expenditure. Staff compensation includes salaries, contributions by employers for staff retirement programmes, and other allowances and benefits. To calculate this indicator, divide teacher compensation in public institutions of a given level of education (ex. primary, secondary, or all levels combined) by total expenditure (current and capital) in public institutions of the same level of education, and multiply by 100. Limitations: Although countries responding to the UIS questionnaire on educational expenditure are required to follow common definitions for staff compensation, in some cases government budget classifications may differ. It is also often difficult to separate staff compensation between teachers and non-teachers, as these are usually grouped together in country's accounting systems. In general, respondent countries must use estimation methods to separate teacher and non-teacher staff compensation. For more information, consult the UNESCO Institute of Statistics website: http://www.uis.unesco.org/Education/","Teacher compensation expressed as a percentage of direct expenditure in public educational institutions (instructional and non-instructional) of the specified level of education. Financial aid to students and other transfers are excluded from direct expenditure. Staff compensation includes salaries, contributions by employers for staff retirement programmes, and other allowances and benefits. To calculate this indicator, divide teacher compensation in public institutions of a given level of education (ex. primary, secondary, or all levels combined) by total expenditure (current and capital) in public institutions of the same level of education, and multiply by 100. Limitations: Although countries responding to the UIS questionnaire on educational expenditure are required to follow common definitions for staff compensation, in some cases government budget classifications may differ. It is also often difficult to separate staff compensation between teachers and non-teachers, as these are usually grouped together in country's accounting systems. In general, respondent countries must use estimation methods to separate teacher and non-teacher staff compensation. For more information, consult the UNESCO Institute of Statistics website: http://www.uis.unesco.org/Education/",UNESCO Institute for Statistics,Education Expenditures,,,,,,,
UIS.XSPENDP.23.FDPUB.FNTS,Teaching staff compensation as a percentage of total expenditure in secondary public institutions (%),"Teacher compensation expressed as a percentage of direct expenditure in public educational institutions (instructional and non-instructional) of the specified level of education. Financial aid to students and other transfers are excluded from direct expenditure. Staff compensation includes salaries, contributions by employers for staff retirement programmes, and other allowances and benefits. To calculate this indicator, divide teacher compensation in public institutions of a given level of education (ex. primary, secondary, or all levels combined) by total expenditure (current and capital) in public institutions of the same level of education, and multiply by 100. Limitations: Although countries responding to the UIS questionnaire on educational expenditure are required to follow common definitions for staff compensation, in some cases government budget classifications may differ. It is also often difficult to separate staff compensation between teachers and non-teachers, as these are usually grouped together in country's accounting systems. In general, respondent countries must use estimation methods to separate teacher and non-teacher staff compensation. For more information, consult the UNESCO Institute of Statistics website: http://www.uis.unesco.org/Education/","Teacher compensation expressed as a percentage of direct expenditure in public educational institutions (instructional and non-instructional) of the specified level of education. Financial aid to students and other transfers are excluded from direct expenditure. Staff compensation includes salaries, contributions by employers for staff retirement programmes, and other allowances and benefits. To calculate this indicator, divide teacher compensation in public institutions of a given level of education (ex. primary, secondary, or all levels combined) by total expenditure (current and capital) in public institutions of the same level of education, and multiply by 100. Limitations: Although countries responding to the UIS questionnaire on educational expenditure are required to follow common definitions for staff compensation, in some cases government budget classifications may differ. It is also often difficult to separate staff compensation between teachers and non-teachers, as these are usually grouped together in country's accounting systems. In general, respondent countries must use estimation methods to separate teacher and non-teacher staff compensation. For more information, consult the UNESCO Institute of Statistics website: http://www.uis.unesco.org/Education/",UNESCO Institute for Statistics,Education Expenditures,,,,,,,
UIS.XSPENDP.56.FDPUB.FNTS,Teaching staff compensation as a percentage of total expenditure in tertiary public institutions (%),"Teacher compensation expressed as a percentage of direct expenditure in public educational institutions (instructional and non-instructional) of the specified level of education. Financial aid to students and other transfers are excluded from direct expenditure. Staff compensation includes salaries, contributions by employers for staff retirement programmes, and other allowances and benefits. To calculate this indicator, divide teacher compensation in public institutions of a given level of education (ex. primary, secondary, or all levels combined) by total expenditure (current and capital) in public institutions of the same level of education, and multiply by 100. Limitations: Although countries responding to the UIS questionnaire on educational expenditure are required to follow common definitions for staff compensation, in some cases government budget classifications may differ. It is also often difficult to separate staff compensation between teachers and non-teachers, as these are usually grouped together in country's accounting systems. In general, respondent countries must use estimation methods to separate teacher and non-teacher staff compensation. For more information, consult the UNESCO Institute of Statistics website: http://www.uis.unesco.org/Education/","Teacher compensation expressed as a percentage of direct expenditure in public educational institutions (instructional and non-instructional) of the specified level of education. Financial aid to students and other transfers are excluded from direct expenditure. Staff compensation includes salaries, contributions by employers for staff retirement programmes, and other allowances and benefits. To calculate this indicator, divide teacher compensation in public institutions of a given level of education (ex. primary, secondary, or all levels combined) by total expenditure (current and capital) in public institutions of the same level of education, and multiply by 100. Limitations: Although countries responding to the UIS questionnaire on educational expenditure are required to follow common definitions for staff compensation, in some cases government budget classifications may differ. It is also often difficult to separate staff compensation between teachers and non-teachers, as these are usually grouped together in country's accounting systems. In general, respondent countries must use estimation methods to separate teacher and non-teacher staff compensation. For more information, consult the UNESCO Institute of Statistics website: http://www.uis.unesco.org/Education/",UNESCO Institute for Statistics,Education Expenditures,,,,,,,
UIS.XSPENDP.3.FDPUB.FNTS,Teaching staff compensation as a percentage of total expenditure in upper secondary public institutions (%),"Teacher compensation expressed as a percentage of direct expenditure in public educational institutions (instructional and non-instructional) of the specified level of education. Financial aid to students and other transfers are excluded from direct expenditure. Staff compensation includes salaries, contributions by employers for staff retirement programmes, and other allowances and benefits. To calculate this indicator, divide teacher compensation in public institutions of a given level of education (ex. primary, secondary, or all levels combined) by total expenditure (current and capital) in public institutions of the same level of education, and multiply by 100. Limitations: Although countries responding to the UIS questionnaire on educational expenditure are required to follow common definitions for staff compensation, in some cases government budget classifications may differ. It is also often difficult to separate staff compensation between teachers and non-teachers, as these are usually grouped together in country's accounting systems. In general, respondent countries must use estimation methods to separate teacher and non-teacher staff compensation. For more information, consult the UNESCO Institute of Statistics website: http://www.uis.unesco.org/Education/","Teacher compensation expressed as a percentage of direct expenditure in public educational institutions (instructional and non-instructional) of the specified level of education. Financial aid to students and other transfers are excluded from direct expenditure. Staff compensation includes salaries, contributions by employers for staff retirement programmes, and other allowances and benefits. To calculate this indicator, divide teacher compensation in public institutions of a given level of education (ex. primary, secondary, or all levels combined) by total expenditure (current and capital) in public institutions of the same level of education, and multiply by 100. Limitations: Although countries responding to the UIS questionnaire on educational expenditure are required to follow common definitions for staff compensation, in some cases government budget classifications may differ. It is also often difficult to separate staff compensation between teachers and non-teachers, as these are usually grouped together in country's accounting systems. In general, respondent countries must use estimation methods to separate teacher and non-teacher staff compensation. For more information, consult the UNESCO Institute of Statistics website: http://www.uis.unesco.org/Education/",UNESCO Institute for Statistics,Education Expenditures,,,,,,,
UIS.LPP.Ag15t24,"Youth illiterate population, 15-24 years, % female",,Share of the youth illiterate population that is female.,UNESCO Institute for Statistics,Literacy,,,,,,,
UIS.LP.Ag15t24,"Youth illiterate population, 15-24 years, both sexes (number)",,Total number of youth between age 15 and age 24 who cannot both read and write with understanding a short simple statement on their everyday life.,UNESCO Institute for Statistics,Literacy,,,,,,,
UIS.LP.Ag15t24.F,"Youth illiterate population, 15-24 years, female (number)",,Total number of females between age 15 and age 24 who cannot both read and write with understanding a short simple statement on their everyday life.,UNESCO Institute for Statistics,Literacy,,,,,,,
UIS.LP.Ag15t24.M,"Youth illiterate population, 15-24 years, male (number)",,Total number of males between age 15 and age 24 who cannot both read and write with understanding a short simple statement on their everyday life.,UNESCO Institute for Statistics,Literacy,,,,,,,
SE.ADT.1524.LT.ZS,"Youth literacy rate, population 15-24 years, both sexes (%)",,"Number of people age 15 to 24 years who can both read and write with understanding a short simple statement on their everyday life, divided by the population in that age group. Generally, ‘literacy’ also encompasses ‘numeracy’, the ability to make simple arithmetic calculations. Divide the number of people aged 15 to 24 years who are literate by the total population in the same age group and multiply the result by 100.",UNESCO Institute for Statistics,Literacy,,,,,,,
SE.ADT.1524.LT.FE.ZS,"Youth literacy rate, population 15-24 years, female (%)",,"Number of females age 15 to 24 years who can both read and write with understanding a short simple statement on their everyday life, divided by the female population in that age group. Generally, ‘literacy’ also encompasses ‘numeracy’, the ability to make simple arithmetic calculations. Divide the number of people aged 15 to 24 years who are literate by the total population in the same age group and multiply the result by 100.",UNESCO Institute for Statistics,Literacy,,,,,,,
SE.ADT.1524.LT.FM.ZS,"Youth literacy rate, population 15-24 years, gender parity index (GPI)",,"Ratio of female youth literacy rate to male youth literacy rate. It is calculated by dividing the female value for the indicator by the male value for the indicator. A GPI equal to 1 indicates parity between females and males. In general, a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females.",UNESCO Institute for Statistics,Literacy,,,,,,,
SE.ADT.1524.LT.MA.ZS,"Youth literacy rate, population 15-24 years, male (%)",,"Number of males age 15 to 24 years who can both read and write with understanding a short simple statement on their everyday life, divided by the male population in that age group. Generally, ‘literacy’ also encompasses ‘numeracy’, the ability to make simple arithmetic calculations. Divide the number of people aged 15 to 24 years who are literate by the total population in the same age group and multiply the result by 100.",UNESCO Institute for Statistics,Literacy,,,,,,,
SL.TLF.PRIM.ZS,Labor force with primary education (% of total),,Labor force with primary education is the share of the total labor force that attained or completed primary education as the highest level of education.,"International Labour Organization, Key Indicators of the Labour Market database.",Social Protection & Labor: Labor force structure,Annual,Weighted average,,,"Data on the labor force are compiled by the International Labour Organization (ILO) from labor force surveys, censuses, establishment censuses and surveys, and administrative records such as employment exchange registers and unemployment insurance schemes. For some countries a combination of these sources is used. 

Labor force surveys are the most comprehensive source for internationally comparable labor force data. They can cover all non-institutionalized civilians, all branches and sectors of the economy, and all categories of workers, including people holding multiple jobs. By contrast, labor force data from population censuses are often based on a limited number of questions on the economic characteristics of individuals, with little scope to probe. The resulting data often differ from labor force survey data and vary considerably by country, depending on the census scope and coverage. Establishment censuses and surveys provide data only on the employed population, not unemployed workers, workers in small establishments, or workers in the informal sector. 

The reference period of a census or survey is another important source of differences: in some countries data refer to people's status on the day of the census or survey or during a specific period before the inquiry date, while in others data are recorded without reference to any period. In developing countries, where the household is often the basic unit of production and all members contribute to output, but some at low intensity or irregularly, the estimated labor force may be much smaller than the numbers actually working. 

Besides the limitations to comparability raised for measuring labor force, the different ways of classifying the education level may also cause inconsistency across countries. Still, information on educational attainment is the best available indicator of skill levels of the labor force to date.",,
SL.TLF.PRIM.FE.ZS,"Labor force with primary education, female (% of female labor force)",,Female labor force with primary education is the share of the female labor force that attained or completed primary education as the highest level of education.,"International Labour Organization, Key Indicators of the Labour Market database.",Social Protection & Labor: Labor force structure,Annual,Weighted average,,,"Data on the labor force are compiled by the International Labour Organization (ILO) from labor force surveys, censuses, establishment censuses and surveys, and administrative records such as employment exchange registers and unemployment insurance schemes. For some countries a combination of these sources is used. 

Labor force surveys are the most comprehensive source for internationally comparable labor force data. They can cover all non-institutionalized civilians, all branches and sectors of the economy, and all categories of workers, including people holding multiple jobs. By contrast, labor force data from population censuses are often based on a limited number of questions on the economic characteristics of individuals, with little scope to probe. The resulting data often differ from labor force survey data and vary considerably by country, depending on the census scope and coverage. Establishment censuses and surveys provide data only on the employed population, not unemployed workers, workers in small establishments, or workers in the informal sector. 

The reference period of a census or survey is another important source of differences: in some countries data refer to people's status on the day of the census or survey or during a specific period before the inquiry date, while in others data are recorded without reference to any period. In developing countries, where the household is often the basic unit of production and all members contribute to output, but some at low intensity or irregularly, the estimated labor force may be much smaller than the numbers actually working. 

Besides the limitations to comparability raised for measuring labor force, the different ways of classifying the education level may also cause inconsistency across countries. Still, information on educational attainment is the best available indicator of skill levels of the labor force to date.",,
SL.TLF.PRIM.MA.ZS,"Labor force with primary education, male (% of male labor force)",,Male labor force with primary education is the share of the male labor force that attained or completed primary education as the highest level of education.,"International Labour Organization, Key Indicators of the Labour Market database.",Social Protection & Labor: Labor force structure,Annual,Weighted average,,,"Data on the labor force are compiled by the International Labour Organization (ILO) from labor force surveys, censuses, establishment censuses and surveys, and administrative records such as employment exchange registers and unemployment insurance schemes. For some countries a combination of these sources is used. 

Labor force surveys are the most comprehensive source for internationally comparable labor force data. They can cover all non-institutionalized civilians, all branches and sectors of the economy, and all categories of workers, including people holding multiple jobs. By contrast, labor force data from population censuses are often based on a limited number of questions on the economic characteristics of individuals, with little scope to probe. The resulting data often differ from labor force survey data and vary considerably by country, depending on the census scope and coverage. Establishment censuses and surveys provide data only on the employed population, not unemployed workers, workers in small establishments, or workers in the informal sector. 

The reference period of a census or survey is another important source of differences: in some countries data refer to people's status on the day of the census or survey or during a specific period before the inquiry date, while in others data are recorded without reference to any period. In developing countries, where the household is often the basic unit of production and all members contribute to output, but some at low intensity or irregularly, the estimated labor force may be much smaller than the numbers actually working. 

Besides the limitations to comparability raised for measuring labor force, the different ways of classifying the education level may also cause inconsistency across countries. Still, information on educational attainment is the best available indicator of skill levels of the labor force to date.",,
SL.TLF.SECO.ZS,Labor force with secondary education (% of total),,Labor force with secondary education is the share of the total labor force that attained or completed secondary education as the highest level of education.,"International Labour Organization, Key Indicators of the Labour Market database.",Social Protection & Labor: Labor force structure,Annual,Weighted average,,,"Data on the labor force are compiled by the International Labour Organization (ILO) from labor force surveys, censuses, establishment censuses and surveys, and administrative records such as employment exchange registers and unemployment insurance schemes. For some countries a combination of these sources is used. 

Labor force surveys are the most comprehensive source for internationally comparable labor force data. They can cover all non-institutionalized civilians, all branches and sectors of the economy, and all categories of workers, including people holding multiple jobs. By contrast, labor force data from population censuses are often based on a limited number of questions on the economic characteristics of individuals, with little scope to probe. The resulting data often differ from labor force survey data and vary considerably by country, depending on the census scope and coverage. Establishment censuses and surveys provide data only on the employed population, not unemployed workers, workers in small establishments, or workers in the informal sector. 

The reference period of a census or survey is another important source of differences: in some countries data refer to people's status on the day of the census or survey or during a specific period before the inquiry date, while in others data are recorded without reference to any period. In developing countries, where the household is often the basic unit of production and all members contribute to output, but some at low intensity or irregularly, the estimated labor force may be much smaller than the numbers actually working. 

Besides the limitations to comparability raised for measuring labor force, the different ways of classifying the education level may also cause inconsistency across countries. Still, information on educational attainment is the best available indicator of skill levels of the labor force to date.",,
SL.TLF.SECO.FE.ZS,"Labor force with secondary education, female (% of female labor force)",,Female labor force with secondary education is the share of the female labor force that attained or completed secondary education as the highest level of education.,"International Labour Organization, Key Indicators of the Labour Market database.",Social Protection & Labor: Labor force structure,Annual,Weighted average,,,"Data on the labor force are compiled by the International Labour Organization (ILO) from labor force surveys, censuses, establishment censuses and surveys, and administrative records such as employment exchange registers and unemployment insurance schemes. For some countries a combination of these sources is used. 

Labor force surveys are the most comprehensive source for internationally comparable labor force data. They can cover all non-institutionalized civilians, all branches and sectors of the economy, and all categories of workers, including people holding multiple jobs. By contrast, labor force data from population censuses are often based on a limited number of questions on the economic characteristics of individuals, with little scope to probe. The resulting data often differ from labor force survey data and vary considerably by country, depending on the census scope and coverage. Establishment censuses and surveys provide data only on the employed population, not unemployed workers, workers in small establishments, or workers in the informal sector. 

The reference period of a census or survey is another important source of differences: in some countries data refer to people's status on the day of the census or survey or during a specific period before the inquiry date, while in others data are recorded without reference to any period. In developing countries, where the household is often the basic unit of production and all members contribute to output, but some at low intensity or irregularly, the estimated labor force may be much smaller than the numbers actually working. 

Besides the limitations to comparability raised for measuring labor force, the different ways of classifying the education level may also cause inconsistency across countries. Still, information on educational attainment is the best available indicator of skill levels of the labor force to date.",,
SL.TLF.SECO.MA.ZS,"Labor force with secondary education, male (% of male labor force)",,Male labor force with secondary education is the share of the male labor force that attained or completed secondary education as the highest level of education.,"International Labour Organization, Key Indicators of the Labour Market database.",Social Protection & Labor: Labor force structure,Annual,Weighted average,,,"Data on the labor force are compiled by the International Labour Organization (ILO) from labor force surveys, censuses, establishment censuses and surveys, and administrative records such as employment exchange registers and unemployment insurance schemes. For some countries a combination of these sources is used. 

Labor force surveys are the most comprehensive source for internationally comparable labor force data. They can cover all non-institutionalized civilians, all branches and sectors of the economy, and all categories of workers, including people holding multiple jobs. By contrast, labor force data from population censuses are often based on a limited number of questions on the economic characteristics of individuals, with little scope to probe. The resulting data often differ from labor force survey data and vary considerably by country, depending on the census scope and coverage. Establishment censuses and surveys provide data only on the employed population, not unemployed workers, workers in small establishments, or workers in the informal sector. 

The reference period of a census or survey is another important source of differences: in some countries data refer to people's status on the day of the census or survey or during a specific period before the inquiry date, while in others data are recorded without reference to any period. In developing countries, where the household is often the basic unit of production and all members contribute to output, but some at low intensity or irregularly, the estimated labor force may be much smaller than the numbers actually working. 

Besides the limitations to comparability raised for measuring labor force, the different ways of classifying the education level may also cause inconsistency across countries. Still, information on educational attainment is the best available indicator of skill levels of the labor force to date.",,
SL.TLF.TERT.ZS,Labor force with tertiary education (% of total),,Labor force with tertiary education is the share of the total labor force that attained or completed tertiary education as the highest level of education.,"International Labour Organization, Key Indicators of the Labour Market database.",Social Protection & Labor: Labor force structure,Annual,Weighted average,,,"Data on the labor force are compiled by the International Labour Organization (ILO) from labor force surveys, censuses, establishment censuses and surveys, and administrative records such as employment exchange registers and unemployment insurance schemes. For some countries a combination of these sources is used. 

Labor force surveys are the most comprehensive source for internationally comparable labor force data. They can cover all non-institutionalized civilians, all branches and sectors of the economy, and all categories of workers, including people holding multiple jobs. By contrast, labor force data from population censuses are often based on a limited number of questions on the economic characteristics of individuals, with little scope to probe. The resulting data often differ from labor force survey data and vary considerably by country, depending on the census scope and coverage. Establishment censuses and surveys provide data only on the employed population, not unemployed workers, workers in small establishments, or workers in the informal sector. 

The reference period of a census or survey is another important source of differences: in some countries data refer to people's status on the day of the census or survey or during a specific period before the inquiry date, while in others data are recorded without reference to any period. In developing countries, where the household is often the basic unit of production and all members contribute to output, but some at low intensity or irregularly, the estimated labor force may be much smaller than the numbers actually working. 

Besides the limitations to comparability raised for measuring labor force, the different ways of classifying the education level may also cause inconsistency across countries. Still, information on educational attainment is the best available indicator of skill levels of the labor force to date.",,
